restaurant_type,name,rating,votes
Microbrewery,"Byg Brewski Brewing Company",4.90,16832
Microbrewery,"Byg Brewski Brewing Company",4.90,16832
Microbrewery,"Byg Brewski Brewing Company",4.90,16832
"Cafe, Casual Dining",Truffles,4.70,14726
"Casual Dining","AB's - Absolute Barbecues",4.80,12121
"Casual Dining","AB's - Absolute Barbecues",4.80,12121
"Casual Dining, Bar","The Black Pearl",4.70,10550
"Pub, Microbrewery","Big Pitcher",4.60,9300
"Pub, Microbrewery","Big Pitcher",4.60,9300
"Pub, Microbrewery","Big Pitcher",4.60,9300
"Casual Dining, Cafe",Onesta,4.40,9085
"Casual Dining, Cafe",Onesta,4.40,9085
Lounge,"Church Street Social",4.30,7584
Lounge,"Church Street Social",4.30,7584
"Microbrewery, Pub",Hoot,4.20,7330
"Microbrewery, Pub",Hoot,4.20,7330
"Microbrewery, Pub",Hoot,4.20,7330
"Microbrewery, Pub",Hoot,4.20,7330
Cafe,"The Hole in the Wall Cafe",4.60,7137
"Bar, Casual Dining","Fenny's Lounge And Kitchen",4.50,6385
"Bar, Casual Dining","Fenny's Lounge And Kitchen",4.50,6385
"Bakery, Cafe","Glen's Bakehouse",4.30,5352
"Casual Dining, Pub","The Boozy Griffin",4.60,5024
"Pub, Cafe",Hammered,4.70,4845
"Lounge, Casual Dining","High Ultra Lounge",4.10,4781
"Lounge, Casual Dining","High Ultra Lounge",4.10,4781
Pub,"The Boozy Griffin",4.80,4705
"Lounge, Microbrewery",Barleyz,3.80,4660
"Lounge, Microbrewery",Barleyz,3.80,4660
Bar,"House Of Commons",4.70,4470
"Quick Bites","Vidyarthi Bhavan",4.40,4460
"Microbrewery, Casual Dining",Communiti,4.60,4119
"Casual Dining, Microbrewery","Brooks and Bonds Brewery",4.50,3996
"Casual Dining, Microbrewery","Brooks and Bonds Brewery",4.50,3996
"Pub, Casual Dining","Gilly's Restobar",4.50,3923
"Casual Dining, Irani Cafee","Soda Bottle Opener Wala",4.40,3730
"Dessert Parlor",Stoner,4.40,2699
"Dessert Parlor, Cafe",Stoner,4.50,2687
"Fine Dining",Yauatcha,4.60,2372
"Fine Dining, Lounge",Shiro,4.40,2247
"Microbrewery, Lounge","Bangalore Brew Works",4.30,2246
Club,"NoLimmits Lounge and Club",4.10,2181
"Lounge, Cafe",Loveshack,4.00,1808
"Lounge, Cafe",Loveshack,4.00,1808
"Cafe, Bakery","Lazy Suzy",4.40,1262
"Microbrewery, Bar","Myu Bar at Gilly's Redefined",4.50,1251
Delivery,eat.fit,4.50,1238
"Bar, Quick Bites","Le Rock",4.00,1207
Bakery,"O.G. Variar & Sons",4.80,1161
"Cafe, Dessert Parlor",Lavonne,4.40,1132
"Quick Bites, Dessert Parlor","Dunkin' Donuts",4.00,1087
"Quick Bites, Dessert Parlor","Dunkin' Donuts",4.00,1087
"Quick Bites, Dessert Parlor","Dunkin' Donuts",4.00,1087
"Sweet Shop","Anand Sweets And Savouries",4.20,1077
"Sweet Shop","Anand Sweets And Savouries",4.20,1077
"Sweet Shop","Anand Sweets And Savouries",4.20,1077
"Takeaway, Delivery",Woodstok,4.10,1054
